time           F1         F2         F3         F4         F5         F6         F7         F8         F9n
0.00381248     1.9998     0.0001     0          0          0          0          0          0          0          0          
0.0281931      1.9996     0.0002     0          0          0          0          0          0          0          0          
0.0345748      1.9994     0.0003     0          0          0          0          0          0          0          0          
0.0398573      1.9992     0.0004     0          0          0          0          0          0          0          0          
0.0476858      1.999      0.0005     0          0          0          0          0          0          0          0          
0.0675374      1.9988     0.0006     0          0          0          0          0          0          0          0          
0.0847169      1.9986     0.0007     0          0          0          0          0          0          0          0          
0.10728        1.9984     0.0008     0          0          0          0          0          0          0          0          
0.117264       1.9982     0.0009     0          0          0          0          0          0          0          0          
0.159152       1.998      0.001      0          0          0          0          0          0          0          0          
0.184036       1.9978     0.0011     0          0          0          0          0          0          0          0          
0.201382       1.9976     0.0012     0          0          0          0          0          0          0          0          
0.246024       1.9974     0.0013     0          0          0          0          0          0          0          0          
0.270923       1.9972     0.0014     0          0          0          0          0          0          0          0          
0.314898       1.997      0.0015     0          0          0          0          0          0          0          0          
0.338496       1.9968     0.0016     0          0          0          0          0          0          0          0          
0.340312       1.9966     0.0017     0          0          0          0          0          0          0          0          
0.351228       1.9964     0.0018     0          0          0          0          0          0          0          0          
0.370231       1.9962     0.0019     0          0          0          0          0          0          0          0          
0.379519       1.996      0.002      0          0          0          0          0          0          0          0          
0.401631       1.9958     0.0021     0          0          0          0          0          0          0          0          
0.408481       1.9956     0.0022     0          0          0          0          0          0          0          0          
0.416729       1.9954     0.0023     0          0          0          0          0          0          0          0          
0.424968       1.9952     0.0024     0          0          0          0          0          0          0          0          
0.428389       1.995      0.0025     0          0          0          0          0          0          0          0          
0.443195       1.9948     0.0026     0          0          0          0          0          0          0          0          
0.460117       1.9946     0.0027     0          0          0          0          0          0          0          0          
0.465716       1.9944     0.0028     0          0          0          0          0          0          0          0          
0.474201       1.9942     0.0029     0          0          0          0          0          0          0          0          
0.484445       1.994      0.003      0          0          0          0          0          0          0          0          
0.490429       1.9938     0.0031     0          0          0          0          0          0          0          0          
0.494421       1.9936     0.0032     0          0          0          0          0          0          0          0          
0.50218        1.9934     0.0033     0          0          0          0          0          0          0          0          
0.503842       1.9932     0.0034     0          0          0          0          0          0          0          0          
0.523149       1.993      0.0035     0          0          0          0          0          0          0          0          
0.530667       1.9928     0.0036     0          0          0          0          0          0          0          0          
0.593716       1.9926     0.0037     0          0          0          0          0          0          0          0          
0.595757       1.9924     0.0038     0          0          0          0          0          0          0          0          
0.618475       1.9922     0.0039     0          0          0          0          0          0          0          0          
0.620817       1.992      0.004      0          0          0          0          0          0          0          0          
0.634212       1.9918     0.0041     0          0          0          0          0          0          0          0          
0.647865       1.9916     0.0042     0          0          0          0          0          0          0          0          
0.65989        1.9914     0.0043     0          0          0          0          0          0          0          0          
0.663394       1.9912     0.0044     0          0          0          0          0          0          0          0          
0.663626       1.991      0.0045     0          0          0          0          0          0          0          0          
0.6765         1.9908     0.0046     0          0          0          0          0          0          0          0          
0.689003       1.9906     0.0047     0          0          0          0          0          0          0          0          
0.704703       1.9904     0.0048     0          0          0          0          0          0          0          0          
0.705939       1.9902     0.0049     0          0          0          0          0          0          0          0          
0.74978        1.99       0.005      0          0          0          0          0          0          0          0          
0.765398       1.9898     0.0051     0          0          0          0          0          0          0          0          
0.784876       1.9896     0.0052     0          0          0          0          0          0          0          0          
0.785731       1.9894     0.0053     0          0          0          0          0          0          0          0          
0.866696       1.9892     0.0054     0          0          0          0          0          0          0          0          
0.886333       1.989      0.0055     0          0          0          0          0          0          0          0          
0.895963       1.9888     0.0056     0          0          0          0          0          0          0          0          
0.904986       1.9886     0.0057     0          0          0          0          0          0          0          0          
0.914079       1.9884     0.0058     0          0          0          0          0          0          0          0          
0.91446        1.9882     0.0059     0          0          0          0          0          0          0          0          
0.927936       1.988      0.006      0          0          0          0          0          0          0          0          
0.966486       1.9878     0.0061     0          0          0          0          0          0          0          0          
0.974155       1.9876     0.0062     0          0          0          0          0          0          0          0          
1.06477        1.9874     0.0063     0          0          0          0          0          0          0          0          
1.0781         1.9872     0.0064     0          0          0          0          0          0          0          0          
1.09857        1.987      0.0065     0          0          0          0          0          0          0          0          
1.1431         1.9868     0.0066     0          0          0          0          0          0          0          0          
1.14411        1.9866     0.0067     0          0          0          0          0          0          0          0          
1.15497        1.9864     0.0068     0          0          0          0          0          0          0          0          
1.15664        1.9862     0.0069     0          0          0          0          0          0          0          0          
1.16368        1.986      0.007      0          0          0          0          0          0          0          0          
1.18082        1.9858     0.0071     0          0          0          0          0          0          0          0          
1.18168        1.9856     0.0072     0          0          0          0          0          0          0          0          
1.2185         1.9854     0.0073     0          0          0          0          0          0          0          0          
1.22956        1.9852     0.0074     0          0          0          0          0          0          0          0          
1.27564        1.985      0.0075     0          0          0          0          0          0          0          0          
1.31742        1.9848     0.0076     0          0          0          0          0          0          0          0          
1.41479        1.9846     0.0077     0          0          0          0          0          0          0          0          
1.47997        1.9844     0.0078     0          0          0          0          0          0          0          0          
1.4955         1.9842     0.0079     0          0          0          0          0          0          0          0          
1.54334        1.984      0.008      0          0          0          0          0          0          0          0          
1.5694         1.9838     0.0081     0          0          0          0          0          0          0          0          
1.61698        1.9836     0.0082     0          0          0          0          0          0          0          0          
1.62253        1.9834     0.0083     0          0          0          0          0          0          0          0          
1.62993        1.9832     0.0084     0          0          0          0          0          0          0          0          
1.63488        1.983      0.0085     0          0          0          0          0          0          0          0          
1.64925        1.9828     0.0086     0          0          0          0          0          0          0          0          
1.65226        1.9826     0.0087     0          0          0          0          0          0          0          0          
1.65711        1.9824     0.0088     0          0          0          0          0          0          0          0          
1.6616         1.9822     0.0089     0          0          0          0          0          0          0          0          
1.66194        1.982      0.009      0          0          0          0          0          0          0          0          
1.72918        1.9818     0.0091     0          0          0          0          0          0          0          0          
1.73487        1.9816     0.0092     0          0          0          0          0          0          0          0          
1.75725        1.9814     0.0093     0          0          0          0          0          0          0          0          
1.76684        1.9812     0.0094     0          0          0          0          0          0          0          0          
1.77062        1.981      0.0095     0          0          0          0          0          0          0          0          
1.8215         1.9808     0.0096     0          0          0          0          0          0          0          0          
1.8267         1.9806     0.0097     0          0          0          0          0          0          0          0          
1.83587        1.9804     0.0098     0          0          0          0          0          0          0          0          
1.84698        1.9802     0.0099     0          0          0          0          0          0          0          0          
1.84763        1.98       0.01       0          0          0          0          0          0          0          0          
1.85084        1.9798     0.0101     0          0          0          0          0          0          0          0          
1.86155        1.9796     0.0102     0          0          0          0          0          0          0          0          
1.86961        1.9794     0.0103     0          0          0          0          0          0          0          0          
1.87141        1.9792     0.0104     0          0          0          0          0          0          0          0          
1.88232        1.979      0.0105     0          0          0          0          0          0          0          0          
1.88836        1.9788     0.0106     0          0          0          0          0          0          0          0          
1.89774        1.9786     0.0107     0          0          0          0          0          0          0          0          
1.89839        1.9784     0.0108     0          0          0          0          0          0          0          0          
1.89919        1.9782     0.0109     0          0          0          0          0          0          0          0          
1.92636        1.978      0.011      0          0          0          0          0          0          0          0          
1.92896        1.9778     0.0111     0          0          0          0          0          0          0          0          
1.93602        1.9776     0.0112     0          0          0          0          0          0          0          0          
1.95044        1.9774     0.0113     0          0          0          0          0          0          0          0          
1.9591         1.9772     0.0114     0          0          0          0          0          0          0          0          
1.99745        1.977      0.0115     0          0          0          0          0          0          0          0          
2.00126        1.9768     0.0116     0          0          0          0          0          0          0          0          
2.01316        1.9766     0.0117     0          0          0          0          0          0          0          0          
2.01831        1.9764     0.0118     0          0          0          0          0          0          0          0          
2.04922        1.9762     0.0119     0          0          0          0          0          0          0          0          
2.06816        1.976      0.012      0          0          0          0          0          0          0          0          
2.09816        1.9758     0.0121     0          0          0          0          0          0          0          0          
2.10612        1.9756     0.0122     0          0          0          0          0          0          0          0          
2.10911        1.9754     0.0123     0          0          0          0          0          0          0          0          
2.11889        1.9752     0.0124     0          0          0          0          0          0          0          0          
2.20407        1.975      0.0125     0          0          0          0          0          0          0          0          
2.26639        1.9748     0.0126     0          0          0          0          0          0          0          0          
2.27006        1.9746     0.0127     0          0          0          0          0          0          0          0          
2.27258        1.9744     0.0128     0          0          0          0          0          0          0          0          
2.28102        1.9742     0.0129     0          0          0          0          0          0          0          0          
2.28141        1.974      0.013      0          0          0          0          0          0          0          0          
2.28622        1.9738     0.0131     0          0          0          0          0          0          0          0          
2.32153        1.9736     0.0132     0          0          0          0          0          0          0          0          
2.36499        1.9734     0.0133     0          0          0          0          0          0          0          0          
2.37275        1.9732     0.0134     0          0          0          0          0          0          0          0          
2.37388        1.973      0.0135     0          0          0          0          0          0          0          0          
2.37632        1.9728     0.0136     0          0          0          0          0          0          0          0          
2.37681        1.9726     0.0137     0          0          0          0          0          0          0          0          
2.38232        1.9724     0.0138     0          0          0          0          0          0          0          0          
2.39399        1.9722     0.0139     0          0          0          0          0          0          0          0          
