time           F1         F2         F3         F4         F5         F6         F7         F8         F9n
3.19292        1.9998     0.0001     0          0          0          0          0          0          0          0          
3.45777        1.9996     0.0002     0          0          0          0          0          0          0          0          
4.48477        1.9994     0.0003     0          0          0          0          0          0          0          0          
5.64097        1.9992     0.0004     0          0          0          0          0          0          0          0          
5.9864         1.999      0.0005     0          0          0          0          0          0          0          0          
7.34377        1.9988     0.0006     0          0          0          0          0          0          0          0          
8.84973        1.9986     0.0007     0          0          0          0          0          0          0          0          
9.81832        1.9984     0.0008     0          0          0          0          0          0          0          0          
10.2101        1.9982     0.0009     0          0          0          0          0          0          0          0          
11.131         1.998      0.001      0          0          0          0          0          0          0          0          
12.6111        1.9978     0.0011     0          0          0          0          0          0          0          0          
14.865         1.9976     0.0012     0          0          0          0          0          0          0          0          
15.2494        1.9974     0.0013     0          0          0          0          0          0          0          0          
15.4834        1.9972     0.0014     0          0          0          0          0          0          0          0          
16.9736        1.997      0.0015     0          0          0          0          0          0          0          0          
17.6297        1.9968     0.0016     0          0          0          0          0          0          0          0          
17.9622        1.9966     0.0017     0          0          0          0          0          0          0          0          
19.1699        1.9964     0.0018     0          0          0          0          0          0          0          0          
21.4891        1.9962     0.0019     0          0          0          0          0          0          0          0          
22.0094        1.996      0.002      0          0          0          0          0          0          0          0          
22.6745        1.9958     0.0021     0          0          0          0          0          0          0          0          
27.2166        1.9956     0.0022     0          0          0          0          0          0          0          0          
28.0706        1.9954     0.0023     0          0          0          0          0          0          0          0          
29.0159        1.9952     0.0024     0          0          0          0          0          0          0          0          
29.0773        1.995      0.0025     0          0          0          0          0          0          0          0          
29.2062        1.9948     0.0026     0          0          0          0          0          0          0          0          
31.8282        1.9946     0.0027     0          0          0          0          0          0          0          0          
32.2225        1.9944     0.0028     0          0          0          0          0          0          0          0          
32.2549        1.9942     0.0029     0          0          0          0          0          0          0          0          
33.3732        1.994      0.003      0          0          0          0          0          0          0          0          
34.2592        1.9938     0.0031     0          0          0          0          0          0          0          0          
35.3033        1.9936     0.0032     0          0          0          0          0          0          0          0          
36.4049        1.9934     0.0033     0          0          0          0          0          0          0          0          
40.3958        1.9932     0.0034     0          0          0          0          0          0          0          0          
41.3792        1.993      0.0035     0          0          0          0          0          0          0          0          
41.5404        1.9928     0.0036     0          0          0          0          0          0          0          0          
42.2176        1.9926     0.0037     0          0          0          0          0          0          0          0          
42.3085        1.9924     0.0038     0          0          0          0          0          0          0          0          
42.435         1.9922     0.0039     0          0          0          0          0          0          0          0          
42.5332        1.992      0.004      0          0          0          0          0          0          0          0          
42.5553        1.9918     0.0041     0          0          0          0          0          0          0          0          
42.9868        1.9916     0.0042     0          0          0          0          0          0          0          0          
43.5573        1.9914     0.0043     0          0          0          0          0          0          0          0          
47.9375        1.9912     0.0044     0          0          0          0          0          0          0          0          
48.0871        1.991      0.0045     0          0          0          0          0          0          0          0          
48.263         1.9908     0.0046     0          0          0          0          0          0          0          0          
50.729         1.9906     0.0047     0          0          0          0          0          0          0          0          
51.0445        1.9904     0.0048     0          0          0          0          0          0          0          0          
53.1963        1.9902     0.0049     0          0          0          0          0          0          0          0          
53.3229        1.99       0.005      0          0          0          0          0          0          0          0          
55.2269        1.9898     0.0051     0          0          0          0          0          0          0          0          
56.2068        1.9896     0.0052     0          0          0          0          0          0          0          0          
57.44          1.9894     0.0053     0          0          0          0          0          0          0          0          
57.5088        1.9892     0.0054     0          0          0          0          0          0          0          0          
57.9467        1.989      0.0055     0          0          0          0          0          0          0          0          
58.4865        1.9888     0.0056     0          0          0          0          0          0          0          0          
59.3779        1.9886     0.0057     0          0          0          0          0          0          0          0          
63.7102        1.9884     0.0058     0          0          0          0          0          0          0          0          
64.7457        1.9882     0.0059     0          0          0          0          0          0          0          0          
64.8005        1.988      0.006      0          0          0          0          0          0          0          0          
64.8054        1.9878     0.0061     0          0          0          0          0          0          0          0          
65.0897        1.9876     0.0062     0          0          0          0          0          0          0          0          
66.7024        1.9874     0.0063     0          0          0          0          0          0          0          0          
69.3108        1.9872     0.0064     0          0          0          0          0          0          0          0          
71.6954        1.987      0.0065     0          0          0          0          0          0          0          0          
71.7155        1.9868     0.0066     0          0          0          0          0          0          0          0          
75.0604        1.9866     0.0067     0          0          0          0          0          0          0          0          
76.0425        1.9864     0.0068     0          0          0          0          0          0          0          0          
