time           F1         F2         F3         F4         F5         F6         F7         F8         F9n
0.322926       1.9998     0.0001     0          0          0          0          0          0          0          0          
1.29019        1.9996     0.0002     0          0          0          0          0          0          0          0          
2.62063        1.9994     0.0003     0          0          0          0          0          0          0          0          
5.95564        1.9992     0.0004     0          0          0          0          0          0          0          0          
7.66909        1.999      0.0005     0          0          0          0          0          0          0          0          
7.72966        1.9988     0.0006     0          0          0          0          0          0          0          0          
8.96723        1.9986     0.0007     0          0          0          0          0          0          0          0          
11.7961        1.9984     0.0008     0          0          0          0          0          0          0          0          
12.0225        1.9982     0.0009     0          0          0          0          0          0          0          0          
14.8026        1.998      0.001      0          0          0          0          0          0          0          0          
16.175         1.9978     0.0011     0          0          0          0          0          0          0          0          
16.9581        1.9976     0.0012     0          0          0          0          0          0          0          0          
18.8421        1.9974     0.0013     0          0          0          0          0          0          0          0          
19.046         1.9972     0.0014     0          0          0          0          0          0          0          0          
19.413         1.997      0.0015     0          0          0          0          0          0          0          0          
19.8254        1.9968     0.0016     0          0          0          0          0          0          0          0          
23.3336        1.9966     0.0017     0          0          0          0          0          0          0          0          
23.4163        1.9964     0.0018     0          0          0          0          0          0          0          0          
24.6194        1.9962     0.0019     0          0          0          0          0          0          0          0          
24.761         1.996      0.002      0          0          0          0          0          0          0          0          
24.8816        1.9958     0.0021     0          0          0          0          0          0          0          0          
25.2361        1.9956     0.0022     0          0          0          0          0          0          0          0          
26.216         1.9954     0.0023     0          0          0          0          0          0          0          0          
27.5365        1.9952     0.0024     0          0          0          0          0          0          0          0          
29.0199        1.995      0.0025     0          0          0          0          0          0          0          0          
30.2306        1.9948     0.0026     0          0          0          0          0          0          0          0          
30.4668        1.9946     0.0027     0          0          0          0          0          0          0          0          
31.78          1.9944     0.0028     0          0          0          0          0          0          0          0          
33.7463        1.9942     0.0029     0          0          0          0          0          0          0          0          
34.5787        1.994      0.003      0          0          0          0          0          0          0          0          
36.2886        1.9938     0.0031     0          0          0          0          0          0          0          0          
36.5028        1.9936     0.0032     0          0          0          0          0          0          0          0          
38.5875        1.9934     0.0033     0          0          0          0          0          0          0          0          
40.5286        1.9932     0.0034     0          0          0          0          0          0          0          0          
40.9645        1.993      0.0035     0          0          0          0          0          0          0          0          
41.5559        1.9928     0.0036     0          0          0          0          0          0          0          0          
41.8712        1.9926     0.0037     0          0          0          0          0          0          0          0          
41.9517        1.9924     0.0038     0          0          0          0          0          0          0          0          
42.0864        1.9922     0.0039     0          0          0          0          0          0          0          0          
42.9225        1.992      0.004      0          0          0          0          0          0          0          0          
45.6365        1.9918     0.0041     0          0          0          0          0          0          0          0          
45.9032        1.9916     0.0042     0          0          0          0          0          0          0          0          
46.6089        1.9914     0.0043     0          0          0          0          0          0          0          0          
47.0609        1.9912     0.0044     0          0          0          0          0          0          0          0          
51.4743        1.991      0.0045     0          0          0          0          0          0          0          0          
51.7501        1.9908     0.0046     0          0          0          0          0          0          0          0          
51.824         1.9906     0.0047     0          0          0          0          0          0          0          0          
52.1303        1.9904     0.0048     0          0          0          0          0          0          0          0          
54.6577        1.9902     0.0049     0          0          0          0          0          0          0          0          
54.749         1.99       0.005      0          0          0          0          0          0          0          0          
54.7763        1.9898     0.0051     0          0          0          0          0          0          0          0          
57.2815        1.9896     0.0052     0          0          0          0          0          0          0          0          
58.468         1.9894     0.0053     0          0          0          0          0          0          0          0          
59.0504        1.9892     0.0054     0          0          0          0          0          0          0          0          
60.1371        1.989      0.0055     0          0          0          0          0          0          0          0          
60.2443        1.9888     0.0056     0          0          0          0          0          0          0          0          
61.5435        1.9886     0.0057     0          0          0          0          0          0          0          0          
62.0514        1.9884     0.0058     0          0          0          0          0          0          0          0          
64.062         1.9882     0.0059     0          0          0          0          0          0          0          0          
64.9446        1.988      0.006      0          0          0          0          0          0          0          0          
65.0864        1.9878     0.0061     0          0          0          0          0          0          0          0          
65.6454        1.9876     0.0062     0          0          0          0          0          0          0          0          
66.826         1.9874     0.0063     0          0          0          0          0          0          0          0          
68.1593        1.9872     0.0064     0          0          0          0          0          0          0          0          
68.751         1.987      0.0065     0          0          0          0          0          0          0          0          
70.1963        1.9868     0.0066     0          0          0          0          0          0          0          0          
71.235         1.9866     0.0067     0          0          0          0          0          0          0          0          
71.8336        1.9864     0.0068     0          0          0          0          0          0          0          0          
72.4466        1.9862     0.0069     0          0          0          0          0          0          0          0          
74.2874        1.986      0.007      0          0          0          0          0          0          0          0          
75.6091        1.9858     0.0071     0          0          0          0          0          0          0          0          
75.6441        1.9857     0.007      0.0001     0          0          0          0          0          0          0          
