time           F1         F2         F3         F4         F5         F6         F7         F8         F9n
0.0183552      1.9998     0.0001     0          0          0          0          0          0          0          0          
0.0470359      1.9996     0.0002     0          0          0          0          0          0          0          0          
0.137677       1.9994     0.0003     0          0          0          0          0          0          0          0          
0.16312        1.9992     0.0004     0          0          0          0          0          0          0          0          
0.17102        1.999      0.0005     0          0          0          0          0          0          0          0          
0.455828       1.9988     0.0006     0          0          0          0          0          0          0          0          
0.456571       1.9986     0.0007     0          0          0          0          0          0          0          0          
0.467761       1.9984     0.0008     0          0          0          0          0          0          0          0          
0.522185       1.9982     0.0009     0          0          0          0          0          0          0          0          
0.569042       1.998      0.001      0          0          0          0          0          0          0          0          
0.626379       1.9978     0.0011     0          0          0          0          0          0          0          0          
0.682853       1.9976     0.0012     0          0          0          0          0          0          0          0          
0.727407       1.9974     0.0013     0          0          0          0          0          0          0          0          
0.812176       1.9972     0.0014     0          0          0          0          0          0          0          0          
0.866558       1.997      0.0015     0          0          0          0          0          0          0          0          
0.942935       1.9968     0.0016     0          0          0          0          0          0          0          0          
0.967623       1.9966     0.0017     0          0          0          0          0          0          0          0          
1.08871        1.9964     0.0018     0          0          0          0          0          0          0          0          
1.12979        1.9962     0.0019     0          0          0          0          0          0          0          0          
1.16383        1.996      0.002      0          0          0          0          0          0          0          0          
1.18012        1.9958     0.0021     0          0          0          0          0          0          0          0          
1.30557        1.9956     0.0022     0          0          0          0          0          0          0          0          
1.44796        1.9954     0.0023     0          0          0          0          0          0          0          0          
1.46166        1.9952     0.0024     0          0          0          0          0          0          0          0          
1.50409        1.995      0.0025     0          0          0          0          0          0          0          0          
1.5154         1.9948     0.0026     0          0          0          0          0          0          0          0          
1.60659        1.9946     0.0027     0          0          0          0          0          0          0          0          
1.67652        1.9944     0.0028     0          0          0          0          0          0          0          0          
1.83205        1.9942     0.0029     0          0          0          0          0          0          0          0          
1.88422        1.994      0.003      0          0          0          0          0          0          0          0          
1.90097        1.9938     0.0031     0          0          0          0          0          0          0          0          
1.95305        1.9936     0.0032     0          0          0          0          0          0          0          0          
1.96757        1.9934     0.0033     0          0          0          0          0          0          0          0          
2.02001        1.9932     0.0034     0          0          0          0          0          0          0          0          
2.06448        1.993      0.0035     0          0          0          0          0          0          0          0          
2.07973        1.9928     0.0036     0          0          0          0          0          0          0          0          
2.17118        1.9926     0.0037     0          0          0          0          0          0          0          0          
2.21123        1.9924     0.0038     0          0          0          0          0          0          0          0          
2.30673        1.9922     0.0039     0          0          0          0          0          0          0          0          
2.33061        1.992      0.004      0          0          0          0          0          0          0          0          
2.33523        1.9918     0.0041     0          0          0          0          0          0          0          0          
2.45003        1.9916     0.0042     0          0          0          0          0          0          0          0          
2.50888        1.9914     0.0043     0          0          0          0          0          0          0          0          
2.56737        1.9912     0.0044     0          0          0          0          0          0          0          0          
2.63872        1.991      0.0045     0          0          0          0          0          0          0          0          
2.67681        1.9908     0.0046     0          0          0          0          0          0          0          0          
2.67958        1.9906     0.0047     0          0          0          0          0          0          0          0          
2.75753        1.9904     0.0048     0          0          0          0          0          0          0          0          
2.80276        1.9902     0.0049     0          0          0          0          0          0          0          0          
