time           Conversion     Mn         Mw         D
1.44363        5.04592e-05     371.452     959.789     2.58388     
5.45522        0.000100918     371.471     959.8      2.58378     
6.04935        0.000151378     371.49     959.914     2.58396     
8.62042        0.000201837     371.508     959.925     2.58386     
9.66864        0.000252296     371.527     959.935     2.58376     
10.852         0.000302755     371.545     959.945     2.58366     
11.5883        0.000353214     371.564     960.06     2.58383     
11.8758        0.000403673     371.582     960.07     2.58373     
11.9407        0.000454133     371.601     960.08     2.58363     
17.0515        0.000504592     371.62     960.091     2.58353     
19.2392        0.000555051     371.638     960.101     2.58343     
30.4154        0.00060551     371.657     960.112     2.58333     
34.8446        0.000655969     371.675     960.122     2.58323     
35.2063        0.000706428     371.694     960.132     2.58313     
37.1613        0.000756888     371.713     960.143     2.58302     
37.4859        0.000807347     371.731     960.153     2.58292     
41.1517        0.000857806     371.75     960.268     2.5831     
46.2404        0.000908265     371.768     960.278     2.583      
47.3771        0.000958724     371.787     960.288     2.5829     
55.2318        0.00100918     371.806     960.403     2.58308     
56.2567        0.00105964     371.824     960.517     2.58326     
62.9979        0.0011101      371.843     960.528     2.58315     
65.9747        0.00116056     371.861     960.538     2.58305     
69.4738        0.00121102     371.88     960.652     2.58323     
72.462         0.00126148     371.899     960.663     2.58313     
75.5029        0.00131194     371.917     960.673     2.58303     
78.5765        0.0013624      371.936     960.684     2.58293     
78.8329        0.00141286     371.955     960.798     2.58311     
79.3036        0.00146332     371.973     960.808     2.583      
81.6725        0.00151378     371.992     960.819     2.5829     
83.768         0.00156423     372.01     960.829     2.5828     
85.4081        0.00161469     372.029     960.839     2.5827     
87.9158        0.00166515     372.048     960.85     2.5826     
89.2789        0.00171561     372.066     960.86     2.5825     
92.6442        0.00176607     372.085     960.871     2.5824     
92.7811        0.00181653     372.104     960.881     2.58229     
94.8942        0.00186699     372.122     960.891     2.58219     
99.1875        0.00191745     372.141     960.902     2.58209     
102.194        0.00196791     372.16     960.912     2.58199     
102.498        0.00201837     372.178     960.923     2.58189     
104.92         0.00206883     372.197     960.933     2.58179     
114.22         0.00211929     372.216     960.943     2.58169     
117.871        0.00216974     372.234     961.058     2.58186     
117.903        0.0022202      372.253     961.172     2.58204     
119.815        0.00227066     372.271     961.183     2.58194     
127.339        0.00232112     372.29     961.193     2.58184     
135.726        0.00237158     372.309     961.203     2.58174     
137.646        0.00242204     372.327     961.214     2.58164     
141.307        0.0024725      372.346     961.224     2.58153     
141.513        0.00252296     372.365     961.234     2.58143     
146.988        0.00257342     372.383     961.245     2.58133     
149.193        0.00262388     372.402     961.255     2.58123     
152.258        0.00267434     372.421     961.266     2.58113     
158.341        0.0027248      372.439     961.38     2.58131     
158.479        0.00277525     372.458     961.39     2.5812     
162.512        0.00282571     372.477     961.401     2.5811     
165.331        0.00287617     372.495     961.411     2.581      
166.33         0.00292663     372.514     961.422     2.5809     
168.121        0.00297709     372.533     961.432     2.5808     
