time           F1         F2         F3         F4         F5         F6         F7         F8         F9n
1.17891        1.9998     0.0001     0          0          0          0          0          0          0          0          
1.54547        1.9996     0.0002     0          0          0          0          0          0          0          0          
2.2927         1.9994     0.0003     0          0          0          0          0          0          0          0          
2.44453        1.9992     0.0004     0          0          0          0          0          0          0          0          
6.01502        1.999      0.0005     0          0          0          0          0          0          0          0          
8.23161        1.9988     0.0006     0          0          0          0          0          0          0          0          
10.1203        1.9986     0.0007     0          0          0          0          0          0          0          0          
13.3311        1.9984     0.0008     0          0          0          0          0          0          0          0          
13.9046        1.9982     0.0009     0          0          0          0          0          0          0          0          
14.6864        1.998      0.001      0          0          0          0          0          0          0          0          
15.1637        1.9978     0.0011     0          0          0          0          0          0          0          0          
15.3898        1.9976     0.0012     0          0          0          0          0          0          0          0          
15.5089        1.9974     0.0013     0          0          0          0          0          0          0          0          
15.6825        1.9972     0.0014     0          0          0          0          0          0          0          0          
17.0013        1.997      0.0015     0          0          0          0          0          0          0          0          
17.6232        1.9968     0.0016     0          0          0          0          0          0          0          0          
18.5593        1.9966     0.0017     0          0          0          0          0          0          0          0          
19.6805        1.9964     0.0018     0          0          0          0          0          0          0          0          
20.408         1.9962     0.0019     0          0          0          0          0          0          0          0          
22.7983        1.996      0.002      0          0          0          0          0          0          0          0          
23.671         1.9958     0.0021     0          0          0          0          0          0          0          0          
26.7679        1.9956     0.0022     0          0          0          0          0          0          0          0          
26.8706        1.9954     0.0023     0          0          0          0          0          0          0          0          
27.0142        1.9952     0.0024     0          0          0          0          0          0          0          0          
27.208         1.995      0.0025     0          0          0          0          0          0          0          0          
27.616         1.9948     0.0026     0          0          0          0          0          0          0          0          
28.3803        1.9946     0.0027     0          0          0          0          0          0          0          0          
28.7824        1.9944     0.0028     0          0          0          0          0          0          0          0          
29.2244        1.9942     0.0029     0          0          0          0          0          0          0          0          
30.1806        1.994      0.003      0          0          0          0          0          0          0          0          
30.2723        1.9938     0.0031     0          0          0          0          0          0          0          0          
31.9404        1.9936     0.0032     0          0          0          0          0          0          0          0          
32.851         1.9934     0.0033     0          0          0          0          0          0          0          0          
34.9044        1.9932     0.0034     0          0          0          0          0          0          0          0          
35.8193        1.993      0.0035     0          0          0          0          0          0          0          0          
35.9765        1.9928     0.0036     0          0          0          0          0          0          0          0          
37.3367        1.9926     0.0037     0          0          0          0          0          0          0          0          
37.7117        1.9924     0.0038     0          0          0          0          0          0          0          0          
41.0679        1.9922     0.0039     0          0          0          0          0          0          0          0          
42.7583        1.992      0.004      0          0          0          0          0          0          0          0          
44.1814        1.9918     0.0041     0          0          0          0          0          0          0          0          
45.074         1.9916     0.0042     0          0          0          0          0          0          0          0          
47.8952        1.9914     0.0043     0          0          0          0          0          0          0          0          
49.9532        1.9912     0.0044     0          0          0          0          0          0          0          0          
54.1625        1.991      0.0045     0          0          0          0          0          0          0          0          
54.5851        1.9908     0.0046     0          0          0          0          0          0          0          0          
55.3871        1.9906     0.0047     0          0          0          0          0          0          0          0          
58.0428        1.9904     0.0048     0          0          0          0          0          0          0          0          
58.4935        1.9902     0.0049     0          0          0          0          0          0          0          0          
59.7295        1.99       0.005      0          0          0          0          0          0          0          0          
60.276         1.9898     0.0051     0          0          0          0          0          0          0          0          
