time           F1         F2         F3         F4         F5         F6         F7         F8         F9n
0.00525691     1.9998     0.0001     0          0          0          0          0          0          0          0          
0.00843269     1.9996     0.0002     0          0          0          0          0          0          0          0          
0.0235882      1.9994     0.0003     0          0          0          0          0          0          0          0          
0.0236058      1.9992     0.0004     0          0          0          0          0          0          0          0          
0.0334859      1.999      0.0005     0          0          0          0          0          0          0          0          
0.0371288      1.9988     0.0006     0          0          0          0          0          0          0          0          
0.0386033      1.9986     0.0007     0          0          0          0          0          0          0          0          
0.0516098      1.9984     0.0008     0          0          0          0          0          0          0          0          
0.0551947      1.9982     0.0009     0          0          0          0          0          0          0          0          
0.0647963      1.998      0.001      0          0          0          0          0          0          0          0          
0.0690145      1.9978     0.0011     0          0          0          0          0          0          0          0          
0.0731831      1.9976     0.0012     0          0          0          0          0          0          0          0          
0.0794601      1.9974     0.0013     0          0          0          0          0          0          0          0          
0.106875       1.9972     0.0014     0          0          0          0          0          0          0          0          
0.110722       1.997      0.0015     0          0          0          0          0          0          0          0          
0.112225       1.9968     0.0016     0          0          0          0          0          0          0          0          
0.118303       1.9966     0.0017     0          0          0          0          0          0          0          0          
0.129609       1.9964     0.0018     0          0          0          0          0          0          0          0          
0.137382       1.9962     0.0019     0          0          0          0          0          0          0          0          
0.137634       1.996      0.002      0          0          0          0          0          0          0          0          
0.138561       1.9958     0.0021     0          0          0          0          0          0          0          0          
0.140142       1.9956     0.0022     0          0          0          0          0          0          0          0          
0.15015        1.9954     0.0023     0          0          0          0          0          0          0          0          
0.152886       1.9952     0.0024     0          0          0          0          0          0          0          0          
0.154538       1.995      0.0025     0          0          0          0          0          0          0          0          
0.161483       1.9948     0.0026     0          0          0          0          0          0          0          0          
0.16182        1.9946     0.0027     0          0          0          0          0          0          0          0          
0.168459       1.9944     0.0028     0          0          0          0          0          0          0          0          
0.178431       1.9942     0.0029     0          0          0          0          0          0          0          0          
0.185702       1.994      0.003      0          0          0          0          0          0          0          0          
0.186641       1.9938     0.0031     0          0          0          0          0          0          0          0          
0.21155        1.9936     0.0032     0          0          0          0          0          0          0          0          
0.219622       1.9934     0.0033     0          0          0          0          0          0          0          0          
