time           F1         F2         F3         F4         F5         F6         F7         F8         F9n
0.0044916      1.9998     0.0001     0          0          0          0          0          0          0          0          
0.261391       1.9996     0.0002     0          0          0          0          0          0          0          0          
0.273233       1.9994     0.0003     0          0          0          0          0          0          0          0          
0.293077       1.9992     0.0004     0          0          0          0          0          0          0          0          
0.311769       1.999      0.0005     0          0          0          0          0          0          0          0          
0.313669       1.9988     0.0006     0          0          0          0          0          0          0          0          
0.315441       1.9986     0.0007     0          0          0          0          0          0          0          0          
0.366768       1.9984     0.0008     0          0          0          0          0          0          0          0          
0.416352       1.9982     0.0009     0          0          0          0          0          0          0          0          
0.44203        1.998      0.001      0          0          0          0          0          0          0          0          
0.459956       1.9978     0.0011     0          0          0          0          0          0          0          0          
0.682084       1.9976     0.0012     0          0          0          0          0          0          0          0          
0.718514       1.9974     0.0013     0          0          0          0          0          0          0          0          
0.729535       1.9972     0.0014     0          0          0          0          0          0          0          0          
0.767283       1.997      0.0015     0          0          0          0          0          0          0          0          
0.769113       1.9968     0.0016     0          0          0          0          0          0          0          0          
0.914375       1.9966     0.0017     0          0          0          0          0          0          0          0          
0.940928       1.9964     0.0018     0          0          0          0          0          0          0          0          
0.969284       1.9962     0.0019     0          0          0          0          0          0          0          0          
0.972178       1.996      0.002      0          0          0          0          0          0          0          0          
1.06682        1.9958     0.0021     0          0          0          0          0          0          0          0          
1.14057        1.9956     0.0022     0          0          0          0          0          0          0          0          
1.1433         1.9954     0.0023     0          0          0          0          0          0          0          0          
1.37048        1.9952     0.0024     0          0          0          0          0          0          0          0          
1.45911        1.995      0.0025     0          0          0          0          0          0          0          0          
1.46181        1.9948     0.0026     0          0          0          0          0          0          0          0          
1.48256        1.9946     0.0027     0          0          0          0          0          0          0          0          
1.53477        1.9944     0.0028     0          0          0          0          0          0          0          0          
1.55404        1.9942     0.0029     0          0          0          0          0          0          0          0          
1.59229        1.994      0.003      0          0          0          0          0          0          0          0          
1.65042        1.9938     0.0031     0          0          0          0          0          0          0          0          
1.7537         1.9936     0.0032     0          0          0          0          0          0          0          0          
1.77228        1.9934     0.0033     0          0          0          0          0          0          0          0          
2.03395        1.9932     0.0034     0          0          0          0          0          0          0          0          
2.13949        1.993      0.0035     0          0          0          0          0          0          0          0          
2.26111        1.9928     0.0036     0          0          0          0          0          0          0          0          
2.27296        1.9926     0.0037     0          0          0          0          0          0          0          0          
2.27381        1.9924     0.0038     0          0          0          0          0          0          0          0          
2.29465        1.9922     0.0039     0          0          0          0          0          0          0          0          
2.34463        1.992      0.004      0          0          0          0          0          0          0          0          
