time           Conversion     Mn         Mw         D
3.4443         5.04592e-05     371.452     959.685     2.5836     
6.45288        0.000100918     371.471     959.8      2.58378     
11.6302        0.000151378     371.49     959.81     2.58368     
13.1889        0.000201837     371.508     959.821     2.58358     
16.4075        0.000252296     371.527     959.935     2.58376     
20.9844        0.000302755     371.545     959.945     2.58366     
25.4084        0.000353214     371.564     960.06     2.58383     
25.4455        0.000403673     371.582     960.174     2.58401     
31.8936        0.000454133     371.601     960.185     2.58391     
32.4545        0.000504592     371.62     960.195     2.58381     
39.3604        0.000555051     371.638     960.205     2.58371     
40.3059        0.00060551     371.657     960.216     2.58361     
45.3385        0.000655969     371.675     960.226     2.58351     
47.8881        0.000706428     371.694     960.34     2.58369     
47.9817        0.000756888     371.713     960.455     2.58386     
48.762         0.000807347     371.731     960.569     2.58404     
50.3717        0.000857806     371.75     960.58     2.58394     
52.1686        0.000908265     371.768     960.59     2.58384     
52.5424        0.000958724     371.787     960.6      2.58374     
56.8715        0.00100918     371.806     960.611     2.58364     
68.7608        0.00105964     371.824     960.621     2.58354     
69.4579        0.0011101      371.843     960.632     2.58343     
69.9192        0.00116056     371.861     960.642     2.58333     
70.4143        0.00121102     371.88     960.652     2.58323     
71.5165        0.00126148     371.899     960.663     2.58313     
72.6897        0.00131194     371.917     960.673     2.58303     
73.3345        0.0013624      371.936     960.684     2.58293     
75.1366        0.00141286     371.955     960.694     2.58283     
80.6422        0.00146332     371.973     960.704     2.58272     
81.5514        0.00151378     371.992     960.715     2.58262     
85.1925        0.00156423     372.01     960.725     2.58252     
86.0662        0.00161469     372.029     960.735     2.58242     
87.1757        0.00166515     372.048     960.746     2.58232     
87.278         0.00171561     372.066     960.86     2.5825     
92.9062        0.00176607     372.085     960.975     2.58268     
97.8753        0.00181653     372.104     960.985     2.58257     
99.2931        0.00186699     372.122     960.995     2.58247     
104.437        0.00191745     372.141     961.006     2.58237     
106.667        0.00196791     372.16     961.016     2.58227     
110.467        0.00201837     372.178     961.131     2.58245     
113.19         0.00206883     372.197     961.141     2.58235     
