time           F1         F2         F3         F4         F5         F6         F7         F8         F9n
4.01586        1.9998     0.0001     0          0          0          0          0          0          0          0          
4.63307        1.9996     0.0002     0          0          0          0          0          0          0          0          
8.14007        1.9994     0.0003     0          0          0          0          0          0          0          0          
8.8663         1.9992     0.0004     0          0          0          0          0          0          0          0          
8.9687         1.999      0.0005     0          0          0          0          0          0          0          0          
9.52311        1.9988     0.0006     0          0          0          0          0          0          0          0          
12.8492        1.9986     0.0007     0          0          0          0          0          0          0          0          
13.1698        1.9984     0.0008     0          0          0          0          0          0          0          0          
13.3269        1.9982     0.0009     0          0          0          0          0          0          0          0          
13.6553        1.998      0.001      0          0          0          0          0          0          0          0          
14.3834        1.9978     0.0011     0          0          0          0          0          0          0          0          
14.8598        1.9976     0.0012     0          0          0          0          0          0          0          0          
16.5196        1.9974     0.0013     0          0          0          0          0          0          0          0          
17.5962        1.9972     0.0014     0          0          0          0          0          0          0          0          
18.862         1.997      0.0015     0          0          0          0          0          0          0          0          
19.2166        1.9968     0.0016     0          0          0          0          0          0          0          0          
19.3678        1.9966     0.0017     0          0          0          0          0          0          0          0          
19.5723        1.9964     0.0018     0          0          0          0          0          0          0          0          
19.7411        1.9962     0.0019     0          0          0          0          0          0          0          0          
23.1305        1.996      0.002      0          0          0          0          0          0          0          0          
24.2763        1.9958     0.0021     0          0          0          0          0          0          0          0          
25.9477        1.9956     0.0022     0          0          0          0          0          0          0          0          
27.3024        1.9954     0.0023     0          0          0          0          0          0          0          0          
28.4795        1.9952     0.0024     0          0          0          0          0          0          0          0          
29.1673        1.9951     0.0023     0.0001     0          0          0          0          0          0          0          
30.326         1.9949     0.0024     0.0001     0          0          0          0          0          0          0          
30.7593        1.9947     0.0025     0.0001     0          0          0          0          0          0          0          
31.0181        1.9945     0.0026     0.0001     0          0          0          0          0          0          0          
34.6987        1.9943     0.0027     0.0001     0          0          0          0          0          0          0          
35.4468        1.9941     0.0028     0.0001     0          0          0          0          0          0          0          
35.4708        1.9939     0.0029     0.0001     0          0          0          0          0          0          0          
36.0882        1.9937     0.003      0.0001     0          0          0          0          0          0          0          
38.461         1.9935     0.0031     0.0001     0          0          0          0          0          0          0          
41.8485        1.9933     0.0032     0.0001     0          0          0          0          0          0          0          
42.1245        1.9931     0.0033     0.0001     0          0          0          0          0          0          0          
42.2577        1.9929     0.0034     0.0001     0          0          0          0          0          0          0          
42.3227        1.9927     0.0035     0.0001     0          0          0          0          0          0          0          
42.3411        1.9925     0.0036     0.0001     0          0          0          0          0          0          0          
46.0787        1.9923     0.0037     0.0001     0          0          0          0          0          0          0          
46.3824        1.9921     0.0038     0.0001     0          0          0          0          0          0          0          
47.0728        1.9919     0.0039     0.0001     0          0          0          0          0          0          0          
47.328         1.9917     0.004      0.0001     0          0          0          0          0          0          0          
51.1758        1.9915     0.0041     0.0001     0          0          0          0          0          0          0          
51.7891        1.9913     0.0042     0.0001     0          0          0          0          0          0          0          
52.0425        1.9911     0.0043     0.0001     0          0          0          0          0          0          0          
52.2725        1.9909     0.0044     0.0001     0          0          0          0          0          0          0          
54.059         1.9907     0.0045     0.0001     0          0          0          0          0          0          0          
54.6586        1.9905     0.0046     0.0001     0          0          0          0          0          0          0          
55.6283        1.9903     0.0047     0.0001     0          0          0          0          0          0          0          
57.2525        1.9901     0.0048     0.0001     0          0          0          0          0          0          0          
59.697         1.9899     0.0049     0.0001     0          0          0          0          0          0          0          
59.7429        1.9897     0.005      0.0001     0          0          0          0          0          0          0          
59.9664        1.9895     0.0051     0.0001     0          0          0          0          0          0          0          
63.2241        1.9893     0.0052     0.0001     0          0          0          0          0          0          0          
67.0063        1.9891     0.0053     0.0001     0          0          0          0          0          0          0          
67.3813        1.9889     0.0054     0.0001     0          0          0          0          0          0          0          
67.6476        1.9887     0.0055     0.0001     0          0          0          0          0          0          0          
67.9948        1.9885     0.0056     0.0001     0          0          0          0          0          0          0          
69.0341        1.9883     0.0057     0.0001     0          0          0          0          0          0          0          
69.4647        1.9881     0.0058     0.0001     0          0          0          0          0          0          0          
70.459         1.9879     0.0059     0.0001     0          0          0          0          0          0          0          
70.5752        1.9877     0.006      0.0001     0          0          0          0          0          0          0          
70.8128        1.9875     0.0061     0.0001     0          0          0          0          0          0          0          
70.8902        1.9873     0.0062     0.0001     0          0          0          0          0          0          0          
