time           AA         BB         polymer 
4.01586        0.9999     0.9999     0.0001
4.63307        0.9998     0.9998     0.0002
8.14007        0.9997     0.9997     0.0003
8.8663         0.9996     0.9996     0.0004
8.9687         0.9995     0.9995     0.0005
9.52311        0.9994     0.9994     0.0006
12.8492        0.9993     0.9993     0.0007
13.1698        0.9992     0.9992     0.0008
13.3269        0.9991     0.9991     0.0009
13.6553        0.999      0.999      0.001 
14.3834        0.9989     0.9989     0.0011
14.8598        0.9988     0.9988     0.0012
16.5196        0.9987     0.9987     0.0013
17.5962        0.9986     0.9986     0.0014
18.862         0.9985     0.9985     0.0015
19.2166        0.9984     0.9984     0.0016
19.3678        0.9983     0.9983     0.0017
19.5723        0.9982     0.9982     0.0018
19.7411        0.9981     0.9981     0.0019
23.1305        0.998      0.998      0.002 
24.2763        0.9979     0.9979     0.0021
25.9477        0.9978     0.9978     0.0022
27.3024        0.9977     0.9977     0.0023
28.4795        0.9976     0.9976     0.0024
29.1673        0.9975     0.9976     0.0024
30.326         0.9974     0.9975     0.0025
30.7593        0.9973     0.9974     0.0026
31.0181        0.9972     0.9973     0.0027
34.6987        0.9971     0.9972     0.0028
35.4468        0.997      0.9971     0.0029
35.4708        0.9969     0.997      0.003 
36.0882        0.9968     0.9969     0.0031
38.461         0.9967     0.9968     0.0032
41.8485        0.9966     0.9967     0.0033
42.1245        0.9965     0.9966     0.0034
42.2577        0.9964     0.9965     0.0035
42.3227        0.9963     0.9964     0.0036
42.3411        0.9962     0.9963     0.0037
46.0787        0.9961     0.9962     0.0038
46.3824        0.996      0.9961     0.0039
47.0728        0.9959     0.996      0.004 
47.328         0.9958     0.9959     0.0041
51.1758        0.9957     0.9958     0.0042
51.7891        0.9956     0.9957     0.0043
52.0425        0.9955     0.9956     0.0044
52.2725        0.9954     0.9955     0.0045
54.059         0.9953     0.9954     0.0046
54.6586        0.9952     0.9953     0.0047
55.6283        0.9951     0.9952     0.0048
57.2525        0.995      0.9951     0.0049
59.697         0.9949     0.995      0.005 
59.7429        0.9948     0.9949     0.0051
59.9664        0.9947     0.9948     0.0052
63.2241        0.9946     0.9947     0.0053
67.0063        0.9945     0.9946     0.0054
