time           Conversion     Mn         Mw         D
4.34411        5e-05          1.00005     1.0001     1.000050.945066       39998 
5.16959        0.0001         1.0001     1.0002     1.00010.944971       39996 
5.55415        0.00015        1.00015     1.0003     1.000150.944877       39994 
5.57115        0.0002         1.0002     1.0004     1.00020.944782       39992 
5.79765        0.00025        1.00025     1.0005     1.000250.944688       39990 
6.03643        0.0003         1.0003     1.0006     1.00030.944594       39988 
6.17253        0.00035        1.00035     1.0007     1.000350.944499       39986 
8.8043         0.0004         1.0004     1.0008     1.00040.944405       39984 
9.01044        0.00045        1.00045     1.0009     1.000450.94431        39982 
11.1528        0.0005         1.0005     1.001      1.00050.944216       39980 
12.5354        0.00055        1.00055     1.0011     1.000550.944121       39978 
13.1223        0.0006         1.0006     1.0012     1.00060.944027       39976 
14.3533        0.00065        1.00065     1.0013     1.000650.943932       39974 
15.9253        0.0007         1.0007     1.0014     1.00070.943838       39972 
16.414         0.00075        1.00075     1.0015     1.000750.943743       39970 
16.7169        0.0008         1.0008     1.0016     1.00080.943649       39968 
19.1663        0.00085        1.00085     1.0017     1.000850.943554       39966 
19.3547        0.0009         1.0009     1.0018     1.00090.94346        39964 
19.882         0.00095        1.00095     1.0019     1.000950.943366       39962 
21.3507        0.001          1.001      1.002      1.001 0.943271       39960 
22.9028        0.00105        1.00105     1.0021     1.001050.943177       39958 
25.0708        0.0011         1.0011     1.0022     1.00110.943082       39956 
25.4581        0.00115        1.00115     1.0023     1.001150.942988       39954 
26.3005        0.0012         1.0012     1.0024     1.00120.942894       39952 
26.4495        0.00125        1.00125     1.0025     1.001250.942799       39950 
26.7397        0.0013         1.0013     1.0026     1.00130.942705       39948 
26.8338        0.00135        1.00135     1.0027     1.001350.94261        39946 
27.8194        0.0014         1.0014     1.0028     1.00140.942516       39944 
29.4263        0.00145        1.00145     1.0029     1.001450.942422       39942 
31.7475        0.0015         1.0015     1.003      1.00150.942327       39940 
33.1023        0.00155        1.00155     1.0031     1.001550.942233       39938 
33.1327        0.0016         1.0016     1.0032     1.001590.942139       39936 
33.7855        0.00165        1.00165     1.0033     1.001640.942044       39934 
33.9158        0.0017         1.0017     1.0034     1.001690.94195        39932 
33.9487        0.00175        1.00175     1.0035     1.001740.941856       39930 
34.1102        0.0018         1.0018     1.0036     1.001790.941761       39928 
34.446         0.00185        1.00185     1.0037     1.001840.941667       39926 
34.6136        0.0019         1.0019     1.0038     1.001890.941572       39924 
