time           Conversion     Mn         Mw         D          total rate     unreactedfunctional
4.01586        5e-05          1.00005     1.0001     1.00005     0.945066       39998 
4.63307        0.0001         1.0001     1.0002     1.0001     0.944971       39996 
8.14007        0.00015        1.00015     1.0003     1.00015     0.944877       39994 
8.8663         0.0002         1.0002     1.0004     1.0002     0.944782       39992 
8.9687         0.00025        1.00025     1.0005     1.00025     0.944688       39990 
9.52311        0.0003         1.0003     1.0006     1.0003     0.944594       39988 
12.8492        0.00035        1.00035     1.0007     1.00035     0.944499       39986 
13.1698        0.0004         1.0004     1.0008     1.0004     0.944405       39984 
13.3269        0.00045        1.00045     1.0009     1.00045     0.94431        39982 
13.6553        0.0005         1.0005     1.001      1.0005     0.944216       39980 
14.3834        0.00055        1.00055     1.0011     1.00055     0.944121       39978 
14.8598        0.0006         1.0006     1.0012     1.0006     0.944027       39976 
16.5196        0.00065        1.00065     1.0013     1.00065     0.943932       39974 
17.5962        0.0007         1.0007     1.0014     1.0007     0.943838       39972 
18.862         0.00075        1.00075     1.0015     1.00075     0.943743       39970 
19.2166        0.0008         1.0008     1.0016     1.0008     0.943649       39968 
19.3678        0.00085        1.00085     1.0017     1.00085     0.943554       39966 
19.5723        0.0009         1.0009     1.0018     1.0009     0.94346        39964 
19.7411        0.00095        1.00095     1.0019     1.00095     0.943366       39962 
23.1305        0.001          1.001      1.002      1.001      0.943271       39960 
24.2763        0.00105        1.00105     1.0021     1.00105     0.943177       39958 
25.9477        0.0011         1.0011     1.0022     1.0011     0.943082       39956 
27.3024        0.00115        1.00115     1.0023     1.00115     0.942988       39954 
28.4795        0.0012         1.0012     1.0024     1.0012     0.942894       39952 
29.1673        0.00125        1.00125     1.0026     1.00135     0.942799       39950 
30.326         0.0013         1.0013     1.0027     1.0014     0.942705       39948 
30.7593        0.00135        1.00135     1.0028     1.00145     0.94261        39946 
31.0181        0.0014         1.0014     1.0029     1.0015     0.942516       39944 
34.6987        0.00145        1.00145     1.003      1.00155     0.942422       39942 
35.4468        0.0015         1.0015     1.0031     1.0016     0.942327       39940 
35.4708        0.00155        1.00155     1.0032     1.00165     0.942233       39938 
36.0882        0.0016         1.0016     1.0033     1.00169     0.942139       39936 
38.461         0.00165        1.00165     1.0034     1.00174     0.942044       39934 
41.8485        0.0017         1.0017     1.0035     1.00179     0.94195        39932 
42.1245        0.00175        1.00175     1.0036     1.00184     0.941856       39930 
42.2577        0.0018         1.0018     1.0037     1.00189     0.941761       39928 
42.3227        0.00185        1.00185     1.0038     1.00194     0.941667       39926 
42.3411        0.0019         1.0019     1.0039     1.00199     0.941572       39924 
46.0787        0.00195        1.00195     1.004      1.00204     0.941478       39922 
46.3824        0.002          1.002      1.0041     1.00209     0.941384       39920 
47.0728        0.00205        1.00205     1.0042     1.00214     0.94129        39918 
47.328         0.0021         1.0021     1.0043     1.00219     0.941195       39916 
51.1758        0.00215        1.00215     1.0044     1.00224     0.941101       39914 
51.7891        0.0022         1.0022     1.0045     1.00229     0.941007       39912 
52.0425        0.00225        1.00226     1.0046     1.00234     0.940912       39910 
52.2725        0.0023         1.00231     1.0047     1.00239     0.940818       39908 
54.059         0.00235        1.00236     1.0048     1.00244     0.940724       39906 
54.6586        0.0024         1.00241     1.0049     1.00249     0.940629       39904 
55.6283        0.00245        1.00246     1.005      1.00254     0.940535       39902 
57.2525        0.0025         1.00251     1.0051     1.00259     0.940441       39900 
59.697         0.00255        1.00256     1.0052     1.00264     0.940347       39898 
59.7429        0.0026         1.00261     1.0053     1.00269     0.940252       39896 
59.9664        0.00265        1.00266     1.0054     1.00274     0.940158       39894 
63.2241        0.0027         1.00271     1.0055     1.00279     0.940064       39892 
67.0063        0.00275        1.00276     1.0056     1.00283     0.93997        39890 
67.3813        0.0028         1.00281     1.0057     1.00288     0.939875       39888 
67.6476        0.00285        1.00286     1.0058     1.00293     0.939781       39886 
67.9948        0.0029         1.00291     1.0059     1.00298     0.939687       39884 
69.0341        0.00295        1.00296     1.006      1.00303     0.939593       39882 
69.4647        0.003          1.00301     1.0061     1.00308     0.939498       39880 
70.459         0.00305        1.00306     1.0062     1.00313     0.939404       39878 
70.5752        0.0031         1.00311     1.0063     1.00318     0.93931        39876 
70.8128        0.00315        1.00316     1.0064     1.00323     0.939216       39874 
70.8902        0.0032         1.00321     1.0065     1.00328     0.939121       39872 
