time           AA         BB         polymer 
3.19292        0.0002     0.0001     0.0001
3.45777        0.0002     0.0001     0.0002
4.48477        0.0002     0.0001     0.0003
5.64097        0.0002     0.0001     0.0004
5.9864         0.0002     0.0001     0.0005
7.34377        0.0002     0.0001     0.0006
8.84973        0.0002     0.0001     0.0007
9.81832        0.0002     0.0001     0.0008
10.2101        0.0002     0.0001     0.0009
11.131         0.0002     0.0001     0.001 
12.6111        0.0002     0.0001     0.0011
14.865         0.0002     0.0001     0.0012
15.2494        0.0002     0.0001     0.0013
15.4834        0.0002     0.0001     0.0014
16.9736        0.0002     0.0001     0.0015
17.6297        0.0002     0.0001     0.0016
17.9622        0.0002     0.0001     0.0017
19.1699        0.0002     0.0001     0.0018
21.4891        0.0002     0.0001     0.0019
22.0094        0.0002     0.0001     0.002 
22.6745        0.0002     0.0001     0.0021
27.2166        0.0002     0.0001     0.0022
28.0706        0.0002     0.0001     0.0023
29.0159        0.0002     0.0001     0.0024
29.0773        0.0002     0.0001     0.0025
29.2062        0.0002     0.0001     0.0026
31.8282        0.0002     0.0001     0.0027
32.2225        0.0002     0.0001     0.0028
32.2549        0.0002     0.0001     0.0029
33.3732        0.0002     0.0001     0.003 
34.2592        0.0002     0.0001     0.0031
35.3033        0.0002     0.0001     0.0032
36.4049        0.0002     0.0001     0.0033
40.3958        0.0002     0.0001     0.0034
41.3792        0.0002     0.0001     0.0035
41.5404        0.0002     0.0001     0.0036
42.2176        0.0002     0.0001     0.0037
42.3085        0.0002     0.0001     0.0038
42.435         0.0002     0.0001     0.0039
42.5332        0.0002     0.0001     0.004 
42.5553        0.0002     0.0001     0.0041
42.9868        0.0002     0.0001     0.0042
43.5573        0.0002     0.0001     0.0043
47.9375        0.0002     0.0001     0.0044
48.0871        0.0002     0.0001     0.0045
48.263         0.0002     0.0001     0.0046
50.729         0.0002     0.0001     0.0047
51.0445        0.0002     0.0001     0.0048
53.1963        0.0002     0.0001     0.0049
53.3229        0.0002     0.0001     0.005 
55.2269        0.0002     0.0001     0.0051
56.2068        0.0002     0.0001     0.0052
57.44          0.0002     0.0001     0.0053
57.5088        0.0002     0.0001     0.0054
57.9467        0.0002     0.0001     0.0055
58.4865        0.0002     0.0001     0.0056
59.3779        0.0002     0.0001     0.0057
63.7102        0.0002     0.0001     0.0058
64.7457        0.0002     0.0001     0.0059
64.8005        0.0002     0.0001     0.006 
64.8054        0.0002     0.0001     0.0061
65.0897        0.0002     0.0001     0.0062
