time           Mn         Mw         D
0.138836       2          2          1     
2.87581        2          2          1     
3.58295        2          2          1     
3.61172        2          2          1     
3.949          2          2          1     
5.87494        2          2          1     
7.10298        2          2          1     
7.29379        2          2          1     
7.79499        2          2          1     
8.48184        2          2          1     
8.81063        2          2          1     
8.98162        2          2          1     
10.5594        2          2          1     
12.0009        2          2          1     
13.3032        2          2          1     
15.2226        2          2          1     
15.6552        2          2          1     
17.3056        2          2          1     
18.2281        2          2          1     
19.9023        2          2          1     
20.1619        2          2          1     
20.6679        2          2          1     
20.791         2          2          1     
21.4853        2          2          1     
21.6942        2          2          1     
23.4194        2          2          1     
24.3722        2          2          1     
27.5807        2          2          1     
27.6231        2          2          1     
28.5357        2          2          1     
28.777         2          2          1     
28.8188        2          2          1     
31.1477        2          2          1     
31.5397        2          2          1     
31.8285        2          2          1     
32.7782        2          2          1     
33.4843        2          2          1     
34.0794        2          2          1     
35.7638        2          2          1     
37.7989        2          2          1     
38.2388        2          2          1     
39.5251        2          2          1     
40.3145        2          2          1     
46.0951        2          2          1     
47.961         2          2          1     
48.2645        2          2          1     
49.1059        2          2          1     
49.5807        2          2          1     
50.3921        2          2          1     
50.5551        2          2          1     
50.8432        2          2          1     
51.8082        2          2          1     
52.6164        2          2          1     
54.095         2          2          1     
54.7017        2          2          1     
54.7094        2          2          1     
55.9289        2          2          1     
56.195         2          2          1     
56.3968        2          2          1     
56.5268        2          2          1     
56.955         2          2          1     
59.2346        2          2          1     
62.4112        2          2          1     
62.4752        2          2          1     
62.6935        2          2          1     
64.8549        2          2          1     
65.0658        2          2          1     
66.3594        2          2          1     
67.7193        2          2          1     
68.2261        2          2          1     
68.5256        2          2          1     
68.5822        2          2          1     
71.1511        2          2          1     
71.7335        2          2          1     
73.204         2          2          1     
73.7788        2          2          1     
75.4754        2          2          1     
76.0561        2          2          1     
79.4643        2          2          1     
81.4025        2          2          1     
81.4306        2          2          1     
81.728         2          2          1     
81.7988        2          2          1     
84.5548        2          2          1     
88.5071        2          2          1     
89.1207        2          2          1     
90.4066        2          2          1     
90.9741        2          2          1     
91.8546        2          2          1     
91.8689        2          2          1     
92.0955        2          2          1     
92.3701        2          2          1     
93.5641        2          2          1     
94.0581        2          2          1     
95.9566        2          2          1     
96.7726        2          2          1     
97.0891        2          2          1     
97.8469        2          2          1     
98.4628        2          2          1     
99.0386        2          2          1     
100.375        2          2          1     
102.32         2          2          1     
103.235        2          2          1     
104.848        2          2          1     
107.281        2          2          1     
108.548        2          2          1     
113.254        2          2          1     
113.582        2          2          1     
113.949        2          2          1     
114.42         2          2          1     
117.006        2          2          1     
117.126        2          2          1     
117.656        2          2          1     
120.422        2          2          1     
121.13         2          2          1     
125.023        2          2          1     
125.044        2          2          1     
126.159        2          2          1     
126.717        2          2          1     
129.671        2          2          1     
129.755        2          2          1     
130.206        2          2          1     
130.304        2          2          1     
130.388        2          2          1     
130.552        2          2          1     
130.966        2          2          1     
131.051        2          2          1     
131.394        2          2          1     
133.786        2          2          1     
135.551        2          2          1     
137.051        2          2          1     
138.079        2          2          1     
138.586        2          2          1     
139.885        2          2          1     
141.421        2          2          1     
141.657        2          2          1     
141.867        2          2          1     
142.723        2          2          1     
144.883        2          2          1     
145.514        2          2          1     
145.718        2          2          1     
148.474        2          2          1     
148.65         2          2          1     
149.882        2          2          1     
151.39         2          2          1     
152.04         2          2          1     
153.032        2          2          1     
154.81         2          2          1     
155.54         2          2          1     
156.709        2          2          1     
157.66         2          2          1     
159.351        2          2          1     
160.753        2          2          1     
162.485        2          2          1     
163.145        2          2          1     
163.417        2          2          1     
164.447        2          2          1     
164.518        2          2          1     
165.043        2.00946     2.01413     1.00232
165.113        2.0094     2.01404     1.00231
166.593        2.00935     2.01395     1.00229
170.686        2.00929     2.01387     1.00228
170.689        2.00923     2.01378     1.00227
170.807        2.00917     2.0137     1.00225
171.471        2.00912     2.01362     1.00224
171.623        2.00906     2.01353     1.00223
172.411        2.00901     2.01345     1.00221
173.797        2.00896     2.01337     1.0022
175.106        2.0089     2.01329     1.00219
176.363        2.00885     2.01322     1.00217
177.255        2.0088     2.01314     1.00216
177.907        2.00875     2.01306     1.00215
178.269        2.0087     2.01299     1.00214
178.713        2.00865     2.01291     1.00212
179.251        2.0086     2.01284     1.00211
179.342        2.00855     2.01277     1.0021
180.875        2.0085     2.01269     1.00209
181.978        2.00845     2.01262     1.00208
182.259        2.0084     2.01255     1.00207
187.696        2.00836     2.01248     1.00205
189.356        2.00831     2.01241     1.00204
189.701        2.00826     2.01235     1.00203
192.044        2.00822     2.01228     1.00202
192.327        2.00817     2.01221     1.00201
193.512        2.00813     2.01215     1.002 
195.584        2.00809     2.01208     1.00199
195.697        2.00804     2.01202     1.00198
196.647        2.008      2.01195     1.00197
198.037        2.00796     2.01189     1.00196
198.889        2.00792     2.01183     1.00195
199.301        2.00787     2.01176     1.00194
199.687        2.00783     2.0117     1.00193
200.743        2.00779     2.01164     1.00192
200.903        2.00775     2.01158     1.00191
201.201        2.00771     2.01152     1.0019
202.333        2.00767     2.01146     1.00189
203.169        2.00763     2.01141     1.00188
204.539        2.00759     2.01135     1.00187
205.031        2.00756     2.01129     1.00186
207.091        2.00752     2.01124     1.00185
208.469        2.00748     2.01118     1.00184
209.146        2.00744     2.01112     1.00183
211.821        2.00741     2.01107     1.00182
211.871        2.00737     2.01102     1.00182
212.508        2.00733     2.01096     1.00181
212.989        2.0073     2.01091     1.0018
213.655        2.00726     2.01086     1.00179
213.827        2.00723     2.0108     1.00178
214.705        2.00719     2.01075     1.00177
214.937        2.00716     2.0107     1.00176
215.042        2.00713     2.01065     1.00176
216.232        2.00709     2.0106     1.00175
216.505        2.00706     2.01055     1.00174
219.901        2.00703     2.0105     1.00173
226.172        2.00699     2.01045     1.00172
227.446        2.00696     2.0104     1.00172
227.681        2.00693     2.01036     1.00171
228.228        2.0069     2.01031     1.0017
229.996        2.00686     2.01026     1.00169
230.047        2.00683     2.01022     1.00169
233.455        2.0068     2.01017     1.00168
234.042        2.00677     2.01012     1.00167
234.503        2.00674     2.01008     1.00166
235.493        2.00671     2.01003     1.00166
236.402        2.00668     2.00999     1.00165
239.055        2.00665     2.00994     1.00164
239.286        2.00662     2.0099     1.00163
241.648        2.00659     2.00986     1.00163
245.894        2.00656     2.00981     1.00162
246.175        2.0131     2.01952     1.00319
247.098        2.01304     2.01944     1.00318
247.352        2.01299     2.01935     1.00316
248.158        2.01293     2.01927     1.00315
249.663        2.01288     2.01919     1.00314
249.725        2.01282     2.01911     1.00312
250.534        2.01277     2.01903     1.00311
250.759        2.01271     2.01895     1.0031
251.828        2.01266     2.01887     1.00309
252.123        2.01261     2.01879     1.00307
252.154        2.01255     2.01871     1.00306
254.318        2.0125     2.01863     1.00305
254.615        2.01245     2.01856     1.00304
256.609        2.0124     2.01848     1.00302
256.812        2.01235     2.0184     1.00301
257.245        2.0123     2.01833     1.003 
259.42         2.01224     2.01826     1.00299
260.552        2.0122     2.01818     1.00298
262.603        2.01215     2.01811     1.00296
265.21         2.0121     2.01804     1.00295
266.792        2.01205     2.01796     1.00294
266.886        2.012      2.01789     1.00293
269.695        2.01195     2.01782     1.00292
270.774        2.0119     2.01775     1.00291
271.172        2.01186     2.01768     1.00289
274.341        2.01181     2.01761     1.00288
276.339        2.01176     2.01754     1.00287
279.829        2.01172     2.01748     1.00286
280.294        2.01167     2.01741     1.00285
280.595        2.01163     2.01734     1.00284
280.798        2.01741     2.02589     1.0042
280.959        2.01734     2.02579     1.00419
281.158        2.01727     2.02569     1.00417
281.266        2.01721     2.02559     1.00416
281.735        2.01714     2.0255     1.00414
282.874        2.01708     2.0254     1.00413
283.033        2.01701     2.0253     1.00411
283.127        2.01695     2.02521     1.0041
284.603        2.01689     2.02512     1.00408
284.679        2.01682     2.02502     1.00407
284.968        2.01676     2.02493     1.00405
284.972        2.0167     2.02484     1.00404
287.442        2.01664     2.02475     1.00402
293.591        2.01657     2.02466     1.00401
296.276        2.01651     2.02457     1.00399
299.515        2.01645     2.02448     1.00398
299.563        2.01639     2.02439     1.00397
300.68         2.01633     2.0243     1.00395
301.337        2.01627     2.02422     1.00394
301.806        2.01622     2.02413     1.00392
301.997        2.02158     2.03203     1.00517
302.126        2.02151     2.03191     1.00515
302.268        2.02143     2.0318     1.00513
302.522        2.02135     2.03169     1.00511
303.43         2.02128     2.03158     1.0051
304.426        2.0212     2.03147     1.00508
307.253        2.02113     2.03136     1.00506
307.929        2.02105     2.03125     1.00505
309.07         2.02098     2.03114     1.00503
309.193        2.02091     2.03103     1.00501
309.577        2.02083     2.03093     1.005 
309.742        2.02076     2.03082     1.00498
310.166        2.02069     2.03072     1.00496
311.4          2.02062     2.03061     1.00495
311.599        2.02573     2.0381     1.00611
312.18         2.02564     2.03797     1.00609
312.714        2.02555     2.03785     1.00607
313.424        2.02547     2.03772     1.00605
313.557        2.02538     2.03759     1.00603
313.741        2.0253     2.03747     1.00601
313.807        2.02521     2.03734     1.00599
314.035        2.02513     2.03722     1.00597
315.127        2.02504     2.0371     1.00595
315.661        2.02496     2.03698     1.00593
315.706        2.02488     2.03686     1.00592
318.598        2.02479     2.03673     1.0059
319.976        2.02471     2.03662     1.00588
320.088        2.02463     2.0365     1.00586
320.24         2.02455     2.03638     1.00584
320.938        2.02447     2.03626     1.00582
322.91         2.02439     2.03614     1.00581
323.253        2.02431     2.03603     1.00579
324.355        2.02423     2.03591     1.00577
324.842        2.02415     2.0358     1.00575
326.915        2.02408     2.03569     1.00574
327.259        2.024      2.03557     1.00572
329.065        2.02392     2.03546     1.0057
329.856        2.02385     2.03535     1.00568
330.465        2.02377     2.03524     1.00567
331.117        2.0237     2.03513     1.00565
336.619        2.02362     2.03502     1.00563
336.901        2.02355     2.03491     1.00562
337.135        2.02347     2.0348     1.0056
337.231        2.0234     2.0347     1.00558
337.544        2.02333     2.03459     1.00557
339.997        2.02326     2.03448     1.00555
340.979        2.02318     2.03438     1.00553
347.106        2.02311     2.03427     1.00552
347.113        2.02304     2.03417     1.0055
347.484        2.02297     2.03407     1.00548
347.542        2.0229     2.03396     1.00547
347.641        2.02283     2.03386     1.00545
348.048        2.02276     2.03376     1.00544
348.45         2.02269     2.03366     1.00542
349.113        2.02262     2.03356     1.00541
350.807        2.02256     2.03346     1.00539
351.224        2.02249     2.03336     1.00537
352.47         2.02242     2.03326     1.00536
354.819        2.02235     2.03316     1.00534
354.844        2.02229     2.03306     1.00533
355.333        2.02222     2.03297     1.00531
355.54         2.02216     2.03287     1.0053
356.081        2.02209     2.03277     1.00528
358.603        2.02203     2.03268     1.00527
359.021        2.02196     2.03259     1.00525
361.802        2.0219     2.03249     1.00524
362.003        2.02183     2.0324     1.00522
362.11         2.02177     2.0323     1.00521
362.111        2.02171     2.03221     1.0052
365.121        2.02165     2.03212     1.00518
365.576        2.02158     2.03203     1.00517
366.363        2.02152     2.03194     1.00515
367.576        2.02146     2.03185     1.00514
369.308        2.0214     2.03176     1.00512
370.705        2.02134     2.03167     1.00511
370.902        2.02128     2.03158     1.0051
370.97         2.02122     2.03149     1.00508
372.709        2.02116     2.0314     1.00507
