time           Conversion     Mn         Mw         D
0.661271       5e-05          1.00005     1.0001     1.00005     
0.812572       0.0001         1.0001     1.0002     1.0001     
0.819218       0.00015        1.00015     1.0003     1.00015     
1.33889        0.0002         1.0002     1.0004     1.0002     
4.1494         0.00025        1.00025     1.0005     1.00025     
5.17727        0.0003         1.0003     1.0006     1.0003     
5.78241        0.00035        1.00035     1.0007     1.00035     
7.68086        0.0004         1.0004     1.0008     1.0004     
9.19913        0.00045        1.00045     1.0009     1.00045     
9.34579        0.0005         1.0005     1.001      1.0005     
10.3753        0.00055        1.00055     1.0011     1.00055     
11.9612        0.0006         1.0006     1.0012     1.0006     
13.5313        0.00065        1.00065     1.0013     1.00065     
14.3851        0.0007         1.0007     1.0014     1.0007     
14.8361        0.00075        1.00075     1.0015     1.00075     
15.6954        0.0008         1.0008     1.0016     1.0008     
15.8963        0.00085        1.00085     1.0017     1.00085     
16.1186        0.0009         1.0009     1.0018     1.0009     
16.1915        0.00095        1.00095     1.0019     1.00095     
16.6597        0.001          1.001      1.002      1.001      
16.7252        0.00105        1.00105     1.0021     1.00105     
16.9988        0.0011         1.0011     1.0022     1.0011     
17.7588        0.00115        1.00115     1.0023     1.00115     
18.4442        0.0012         1.0012     1.0024     1.0012     
19.1804        0.00125        1.00125     1.0025     1.00125     
19.7545        0.0013         1.0013     1.0026     1.0013     
21.1239        0.00135        1.00135     1.0027     1.00135     
22.2858        0.0014         1.0014     1.0028     1.0014     
23.193         0.00145        1.00145     1.0029     1.00145     
25.9146        0.0015         1.0015     1.003      1.0015     
28.0265        0.00155        1.00155     1.0031     1.00155     
28.459         0.0016         1.0016     1.0032     1.00159     
28.7737        0.00165        1.00165     1.0033     1.00164     
29.8668        0.0017         1.0017     1.0034     1.00169     
31.5065        0.00175        1.00175     1.0035     1.00174     
33.8884        0.0018         1.0018     1.0036     1.00179     
34.0412        0.00185        1.00185     1.0037     1.00184     
35.4684        0.0019         1.0019     1.0038     1.00189     
36.425         0.00195        1.00195     1.0039     1.00194     
36.621         0.002          1.002      1.004      1.00199     
37.1806        0.00205        1.00205     1.0041     1.00204     
37.6819        0.0021         1.0021     1.0042     1.00209     
38.7131        0.00215        1.00215     1.0043     1.00214     
39.5672        0.0022         1.0022     1.0044     1.00219     
43.8936        0.00225        1.00226     1.0045     1.00224     
