time           Conversion     Mn         Mw         D
1.76931        5.04592e-05     371.452     959.685     2.5836     
5.41446        0.000100918     371.471     959.696     2.5835     
5.93705        0.000151378     371.49     959.706     2.5834     
7.58329        0.000201837     371.508     959.821     2.58358     
10.5164        0.000252296     371.527     959.935     2.58376     
13.6436        0.000302755     371.545     959.945     2.58366     
16.4475        0.000353214     371.564     959.956     2.58355     
22.854         0.000403673     371.582     959.966     2.58345     
29.953         0.000454133     371.601     960.08     2.58363     
38.1996        0.000504592     371.62     960.091     2.58353     
40.5285        0.000555051     371.638     960.101     2.58343     
42.6144        0.00060551     371.657     960.112     2.58333     
43.8458        0.000655969     371.675     960.122     2.58323     
47.1258        0.000706428     371.694     960.236     2.58341     
47.7128        0.000756888     371.713     960.351     2.58358     
50.2596        0.000807347     371.731     960.361     2.58348     
54.8765        0.000857806     371.75     960.476     2.58366     
58.8211        0.000908265     371.768     960.486     2.58356     
59.8835        0.000958724     371.787     960.496     2.58346     
61.5092        0.00100918     371.806     960.507     2.58336     
62.5679        0.00105964     371.824     960.621     2.58354     
65.567         0.0011101      371.843     960.736     2.58371     
68.0021        0.00116056     371.861     960.746     2.58361     
68.744         0.00121102     371.88     960.756     2.58351     
73.5588        0.00126148     371.899     960.871     2.58369     
73.7303        0.00131194     371.917     960.881     2.58359     
78.3264        0.0013624      371.936     960.892     2.58349     
80.9747        0.00141286     371.955     960.902     2.58339     
82.9287        0.00146332     371.973     960.912     2.58328     
87.4737        0.00151378     371.992     960.923     2.58318     
88.3041        0.00156423     372.01     961.037     2.58336     
91.4986        0.00161469     372.029     961.152     2.58354     
92.2732        0.00166515     372.048     961.266     2.58372     
92.5602        0.00171561     372.066     961.276     2.58362     
96.046         0.00176607     372.085     961.391     2.58379     
96.1627        0.00181653     372.104     961.401     2.58369     
100.511        0.00186699     372.122     961.412     2.58359     
102.302        0.00191745     372.141     961.526     2.58377     
103.454        0.00196791     372.16     961.536     2.58367     
109.982        0.00201837     372.178     961.547     2.58357     
117.907        0.00206883     372.197     961.557     2.58346     
120.006        0.00211929     372.216     961.568     2.58336     
125.497        0.00216974     372.234     961.578     2.58326     
126.412        0.0022202      372.253     961.692     2.58344     
127.108        0.00227066     372.271     961.703     2.58334     
127.598        0.00232112     372.29     961.713     2.58324     
129.037        0.00237158     372.309     961.723     2.58313     
130.912        0.00242204     372.327     961.734     2.58303     
133.543        0.0024725      372.346     961.848     2.58321     
133.76         0.00252296     372.365     961.859     2.58311     
135.346        0.00257342     372.383     961.869     2.58301     
135.981        0.00262388     372.402     961.879     2.58291     
139.344        0.00267434     372.421     961.89     2.5828     
139.386        0.0027248      372.439     961.9      2.5827     
139.573        0.00277525     372.458     961.911     2.5826     
142.225        0.00282571     372.477     961.921     2.5825     
144.813        0.00287617     372.495     961.931     2.5824     
154.775        0.00292663     372.514     961.942     2.5823     
155.952        0.00297709     372.533     961.952     2.58219     
157.637        0.00302755     372.552     962.067     2.58237     
